Date,Type,Total_Sales,Forecast,Forecast_Lower,Forecast_Upper,Transaction_Count,Total_Quantity
2014-01-03,Actual,16.448,16.448,16.448,16.448,1.0,2.0
2014-01-04,Actual,288.06,288.06,288.06,288.06,1.0,8.0
2014-01-05,Actual,19.536,19.536,19.536,19.536,1.0,3.0
2014-01-06,Actual,4407.1,4407.1,4407.1,4407.1,3.0,30.0
2014-01-07,Actual,87.15799999999999,87.15799999999999,87.15799999999999,87.15799999999999,1.0,10.0
2014-01-09,Actual,40.544,40.544,40.544,40.544,1.0,5.0
2014-01-10,Actual,54.83,54.83,54.83,54.83,1.0,2.0
2014-01-11,Actual,9.94,9.94,9.94,9.94,1.0,2.0
2014-01-13,Actual,3553.795,3553.795,3553.795,3553.795,4.0,48.0
2014-01-14,Actual,61.96,61.96,61.96,61.96,1.0,4.0
2014-01-15,Actual,149.95,149.95,149.95,149.95,1.0,5.0
2014-01-16,Actual,299.964,299.964,299.964,299.964,1.0,14.0
2014-01-18,Actual,64.864,64.864,64.864,64.864,1.0,4.0
2014-01-19,Actual,378.594,378.594,378.594,378.594,1.0,24.0
2014-01-20,Actual,2673.87,2673.87,2673.87,2673.87,4.0,58.0
2014-01-21,Actual,25.248,25.248,25.248,25.248,1.0,3.0
2014-01-23,Actual,46.02,46.02,46.02,46.02,2.0,9.0
2014-01-26,Actual,1097.25,1097.25,1097.25,1097.25,2.0,38.0
2014-01-27,Actual,426.67,426.67,426.67,426.67,1.0,8.0
2014-01-28,Actual,3.928,3.928,3.928,3.928,1.0,1.0
2014-01-30,Actual,240.5,240.5,240.5,240.5,1.0,4.0
2014-01-31,Actual,290.666,290.666,290.666,290.666,1.0,2.0
2014-02-01,Actual,468.9,468.9,468.9,468.9,1.0,6.0
2014-02-02,Actual,211.646,211.646,211.646,211.646,2.0,12.0
2014-02-03,Actual,97.112,97.112,97.112,97.112,1.0,5.0
2014-02-04,Actual,134.384,134.384,134.384,134.384,2.0,9.0
2014-02-06,Actual,330.512,330.512,330.512,330.512,2.0,12.0
2014-02-07,Actual,180.32,180.32,180.32,180.32,2.0,11.0
2014-02-08,Actual,14.56,14.56,14.56,14.56,1.0,2.0
2014-02-11,Actual,2043.4,2043.4,2043.4,2043.4,2.0,25.0
2014-02-12,Actual,129.568,129.568,129.568,129.568,1.0,2.0
2014-02-14,Actual,576.726,576.726,576.726,576.726,2.0,10.0
2014-02-15,Actual,21.36,21.36,21.36,21.36,1.0,5.0
2014-02-16,Actual,9.04,9.04,9.04,9.04,1.0,5.0
2014-02-17,Actual,54.208,54.208,54.208,54.208,1.0,14.0
2014-02-18,Actual,37.784,37.784,37.784,37.784,2.0,7.0
2014-02-20,Actual,95.59,95.59,95.59,95.59,2.0,9.0
2014-02-21,Actual,8.85,8.85,8.85,8.85,1.0,5.0
2014-02-22,Actual,19.44,19.44,19.44,19.44,1.0,3.0
2014-02-23,Actual,11.364,11.364,11.364,11.364,1.0,6.0
2014-02-24,Actual,55.672,55.672,55.672,55.672,1.0,7.0
2014-02-27,Actual,19.456,19.456,19.456,19.456,1.0,4.0
2014-03-01,Actual,2203.151,2203.151,2203.151,2203.151,5.0,40.0
2014-03-02,Actual,202.384,202.384,202.384,202.384,2.0,11.0
2014-03-03,Actual,1345.8919999999998,1345.8919999999998,1345.8919999999998,1345.8919999999998,5.0,35.0
2014-03-04,Actual,370.452,370.452,370.452,370.452,2.0,8.0
2014-03-05,Actual,705.562,705.562,705.562,705.562,1.0,16.0
2014-03-07,Actual,1561.062,1561.062,1561.062,1561.062,3.0,27.0
2014-03-10,Actual,741.956,741.956,741.956,741.956,2.0,9.0
2014-03-11,Actual,918.314,918.314,918.314,918.314,4.0,39.0
2014-03-14,Actual,2108.55,2108.55,2108.55,2108.55,5.0,38.0
2014-03-15,Actual,370.782,370.782,370.782,370.782,1.0,14.0
2014-03-16,Actual,471.92,471.92,471.92,471.92,1.0,2.0
2014-03-17,Actual,3960.358,3960.358,3960.358,3960.358,5.0,82.0
2014-03-18,Actual,28106.716,28106.716,28106.716,28106.716,3.0,48.0
2014-03-19,Actual,590.762,590.762,590.762,590.762,1.0,23.0
2014-03-21,Actual,4109.816,4109.816,4109.816,4109.816,4.0,39.0
2014-03-22,Actual,464.093,464.093,464.093,464.093,3.0,17.0
2014-03-23,Actual,945.064,945.064,945.064,945.064,2.0,11.0
2014-03-24,Actual,65.38,65.38,65.38,65.38,2.0,7.0
2014-03-25,Actual,459.146,459.146,459.146,459.146,2.0,21.0
2014-03-26,Actual,145.13,145.13,145.13,145.13,3.0,16.0
2014-03-28,Actual,1823.804,1823.804,1823.804,1823.804,3.0,11.0
2014-03-29,Actual,890.841,890.841,890.841,890.841,1.0,3.0
2014-03-30,Actual,1170.322,1170.322,1170.322,1170.322,6.0,39.0
2014-03-31,Actual,1959.552,1959.552,1959.552,1959.552,5.0,29.0
2014-04-01,Actual,119.888,119.888,119.888,119.888,2.0,12.0
2014-04-02,Actual,1458.558,1458.558,1458.558,1458.558,3.0,29.0
2014-04-03,Actual,233.45,233.45,233.45,233.45,1.0,7.0
2014-04-04,Actual,475.844,475.844,475.844,475.844,4.0,25.0
2014-04-05,Actual,5295.098000000001,5295.098000000001,5295.098000000001,5295.098000000001,5.0,54.0
2014-04-06,Actual,1650.69,1650.69,1650.69,1650.69,5.0,38.0
2014-04-07,Actual,1021.17,1021.17,1021.17,1021.17,3.0,22.0
2014-04-08,Actual,1958.75,1958.75,1958.75,1958.75,5.0,27.0
2014-04-11,Actual,1915.24,1915.24,1915.24,1915.24,4.0,37.0
